Timestamp,ISP,Velocidad Descarga (Mbps),Velocidad Subida (Mbps)
2024-03-15 14:27:52,Movistar Colombia,0.1736,3.0900
2024-03-15 14:28:26,Movistar Colombia,0.1098,3.7734
2024-03-15 14:28:59,Movistar Colombia,0.1224,1.2167
2024-03-15 14:29:35,Movistar Colombia,0.3046,0.4649
2024-03-15 14:30:13,Movistar Colombia,0.0988,1.0163
2024-03-15 14:30:47,Movistar Colombia,0.1376,1.9637
2024-03-15 14:31:28,Movistar Colombia,0.1523,0.9039
2024-03-15 14:32:03,Movistar Colombia,0.1364,0.8922
2024-03-15 14:32:40,Movistar Colombia,0.1686,1.1812
2024-03-15 14:33:15,Movistar Colombia,0.1260,0.7210
2024-03-15 14:33:49,Movistar Colombia,0.1352,0.9128
2024-03-15 14:34:2,Movistar Colombia,0.1036,1.7948
2024-03-15 14:34:59,Movistar Colombia,0.1486,1.6694
2024-03-15 14:35:3,Movistar Colombia,0.1396,2.6156
2024-03-15 14:36:0,Movistar Colombia,0.1346,2.1392
2024-03-15 14:36:4,Movistar Colombia,0.1160,2.2260
2024-03-15 14:37:1,Movistar Colombia,0.1179,3.0879
2024-03-15 14:37:5,Movistar Colombia,0.0826,0.7644
